X,jumlah_kartu,outstanding,limit_kredit,tagihan,total_pemakaian_tunai,total_pemakaian_retail,sisa_tagihan_tidak_terbayar,kode_cabang,rasio_pembayaran,persentasi_overlimit,rasio_pembayaran_3bulan,rasio_pembayaran_6bulan,skor_delikuensi,flag_kredit_macet,jumlah_tahun_sejak_pembukaan_kredit,total_pemakaian,sisa_tagihan_per_jumlah_kartu,sisa_tagihan_per_limit,total_pemakaian_per_limit,pemakaian_3bln_per_limit,pemakaian_6bln_per_limit,utilisasi_3bulan,utilisasi_6bulan
7441,6,41331234,100000000.0,21000000.0,0.0,53000000.0,0.0,,236.0,0.86,125.0,133.0,0,0,5.58,53000000.0,0.0,0.0,0.53,0.267,0.386,0.455,0.475
7478,2,111408,3000000.0,121191.0,0.0,0.0,54281.0,,100.0,0.0,74.9,85.0,0,0,4.67,0.0,27141.0,0.0181,0.0,0.318,0.0187,0.342,0.0294
7707,2,18180124,20000000.0,16658597.0,0.0,1545023.0,16713546.0,,31.5,0.0,11.8,17.1,0,0,1.92,1545023.0,8356773.0,0.836,0.0773,0.0644,0.179,0.9590000000000001,1.04
7760,2,2937936,3000000.0,3116935.0,0.0,50000.0,2558147.0,,19.4,0.0,28.2,14.5,0,0,1.67,50000.0,1279074.0,0.853,0.0167,0.259,0.12300000000000001,0.57,0.36200000000000004
7783,2,2033490,5000000.0,1655005.0,0.0,346840.0,2106724.0,,66.3,0.0,74.3,199.0,0,0,4.67,346840.0,1053362.0,0.42100000000000004,0.0694,0.0194,0.0637,0.385,0.40700000000000003
8032,2,13465426,13000000.0,12370594.0,0.0,0.0,12428483.0,,0.0,6.8,10.9,36.3,0,0,6.83,0.0,6214242.0,0.956,0.0,0.0567,0.102,0.892,0.7440000000000001
8270,2,5075527,53000000.0,1038887.0,0.0,3500000.0,0.0,,99.9,0.0,79.1,68.0,0,0,9.67,3500000.0,0.0,0.0,0.066,0.0234,0.0114,0.0584,0.0931
8295,4,3053352,3000000.0,3162419.0,0.0,229800.0,3136960.0,,0.0,1.56,34.8,36.7,0,0,4.92,229800.0,784240.0,1.05,0.0766,0.295,0.389,0.94,0.516
8568,3,60186521,89000000.0,30320726.0,0.0,20469035.0,19900277.0,,99.2,0.0,101.0,207.0,0,0,7.25,20469035.0,6633426.0,0.22399999999999998,0.23,0.395,0.42700000000000005,0.483,0.41
8650,3,8291259,80000000.0,3012700.0,0.0,1510513.0,0.0,,206.0,0.0,136.0,131.0,0,0,1.5,1510513.0,0.0,0.0,0.0189,0.122,0.14800000000000002,0.13699999999999998,0.153
8782,2,1105851,8000000.0,1000000.0,0.0,249900.0,0.0,,100.0,0.0,100.0,102.0,0,0,7.75,249900.0,0.0,0.0,0.0312,0.0325,0.122,0.2,0.192
8822,3,4501065,4000000.0,4490954.0,0.0,0.0,4372878.0,,0.0,12.5,25.0,66.7,0,0,7.92,0.0,1457626.0,1.09,0.0,0.29,0.0,0.53,0.0871
9031,2,138616,3000000.0,99963.0,0.0,0.0,87661.0,,100.0,0.0,83.3,65.6,0,0,4.75,0.0,43831.0,0.0292,0.0,0.0532,0.29100000000000004,0.0143,0.455
9088,2,2316350,3000000.0,3239830.0,0.0,12000.0,2288782.0,,0.0,0.0,44.6,76.1,0,0,7.17,12000.0,1144391.0,0.763,0.004,0.462,0.544,1.36,1.54
9207,2,6936314,7000000.0,6777660.0,0.0,135154.0,6826680.0,,11.3,0.0,12.0,11.9,0,1,5.08,135154.0,3413340.0,0.975,0.0193,0.114,0.0379,0.9940000000000001,0.79
9394,2,30553111,30000000.0,31202358.0,0.0,0.0,30159641.0,,0.0,1.01,9.88,10.7,0,0,4.17,0.0,15079821.0,1.01,0.0,0.0058200000000000005,0.0403,1.01,0.9009999999999999
9399,3,19960390,20000000.0,16667905.0,0.0,80786.0,13762600.0,,18.0,0.0,0.0,17.8,0,0,2.67,80786.0,4587533.0,0.688,0.00404,0.23600000000000002,0.13,0.759,0.124
9465,3,7855826,22000000.0,5489254.0,0.0,5189100.0,2748027.0,,18.8,0.0,50.0,61.5,0,0,9.58,5189100.0,916009.0,0.125,0.23600000000000002,0.122,0.0737,0.22,0.153
9638,2,17218323,30000000.0,1343080.0,0.0,55078.0,0.0,,115.0,0.0,100.0,111.0,0,0,4.67,55078.0,0.0,0.0,0.0018399999999999998,0.0555,0.018000000000000002,0.622,1.33
9691,2,3821873,5000000.0,2967326.0,0.0,774150.0,3582496.0,,43.5,0.0,20.4,16.2,0,0,1.75,774150.0,1791248.0,0.716,0.155,0.106,0.16,0.9059999999999999,0.727
9782,2,3376599,6000000.0,3318555.0,0.0,0.0,3381512.0,,8.77,0.0,7.63,36.7,0,0,9.33,0.0,1690756.0,0.564,0.0,0.0,0.19899999999999998,0.5870000000000001,0.621
10002,2,3380076,5000000.0,3128650.0,0.0,60000.0,3373791.0,,0.0,0.0,8.06,12.2,0,0,6.92,60000.0,1686896.0,0.675,0.012,0.0321,0.151,0.644,0.807
10141,2,878485,20000000.0,843523.0,0.0,469456.0,0.0,,0.0,0.0,75.1,100.0,0,0,2.17,469456.0,0.0,0.0,0.0235,0.00983,0.00245,0.0149,0.00891
10186,3,11337872,10000000.0,8593099.0,1700000.0,3216872.0,11299116.0,,39.4,13.5,62.6,114.0,0,0,4.5,4916872.0,3766372.0,1.13,0.49200000000000005,0.41600000000000004,0.42200000000000004,0.6990000000000001,0.47
10288,2,14492827,13000000.0,7372281.0,0.0,0.0,14597439.0,,16.7,9.9,11.2,10.3,0,0,8.25,0.0,7298720.0,1.12,0.0,0.0,0.0,1.11,1.2
10462,5,32610666,90000000.0,3078672.0,0.0,6183600.0,20504588.0,,100.0,0.0,85.9,66.7,0,0,8.67,6183600.0,4100918.0,0.228,0.0687,0.10300000000000001,0.0613,0.426,0.267
10549,2,9955496,10000000.0,6627289.0,0.0,2611292.0,11403502.0,,25.8,0.0,72.9,101.0,0,0,2.83,2611292.0,5701751.0,1.14,0.261,0.298,0.109,0.515,0.16899999999999998
10647,4,4749560,4000000.0,4574558.0,0.0,0.0,4723685.0,,0.0,17.1,5.08,36.7,0,0,2.83,0.0,1180921.0,1.18,0.0,0.0359,0.183,1.11,1.04
10984,2,2636092,3000000.0,2388133.0,0.0,1814094.0,2433580.0,,100.0,0.0,93.0,62.9,0,0,1.67,1814094.0,1216790.0,0.8109999999999999,0.605,0.7,0.0776,0.483,0.193
10992,2,836236,3000000.0,813947.0,0.0,60000.0,0.0,,99.7,0.0,50.0,70.5,0,0,2.08,60000.0,0.0,0.0,0.02,0.303,0.14400000000000002,0.294,0.0902
11208,2,11425897,12000000.0,10434772.0,0.0,0.0,11364026.0,,0.0,0.0,60.8,110.0,0,0,7.0,0.0,5682013.0,0.9470000000000001,0.0,0.23600000000000002,0.375,0.838,0.503
11377,2,10200992,12000000.0,14000000.0,0.0,2113680.0,14694727.0,,14.0,2.55,50.0,21.4,0,0,3.25,2113680.0,7347364.0,1.22,0.17600000000000002,0.344,0.0422,0.9059999999999999,0.23
11608,2,1732396,5000000.0,1614396.0,0.0,322000.0,1731531.0,,0.0,0.0,39.0,23.8,0,0,2.5,322000.0,865766.0,0.34600000000000003,0.0644,0.21899999999999997,0.23600000000000002,0.24,0.331
12507,3,14353469,20000000.0,925487.0,0.0,12942226.0,0.0,,100.0,12.7,54.1,38.2,0,0,1.92,12942226.0,0.0,0.0,0.647,0.306,0.41100000000000003,0.82,0.64
12679,2,3646037,8000000.0,429794.0,0.0,368000.0,396674.0,,100.0,0.0,74.7,65.1,0,0,3.33,368000.0,198337.0,0.0496,0.046,0.12300000000000001,0.195,0.35100000000000003,0.252
12880,2,34732676,69000000.0,17434838.0,0.0,3796100.0,34709723.0,,100.0,0.0,100.0,100.0,0,0,7.58,3796100.0,17354862.0,0.503,0.055,0.218,0.133,0.397,0.382
12898,3,27513198,23000000.0,22075228.0,0.0,1664532.0,28000000.0,,14.8,12.6,29.1,26.8,0,0,10.3,1664532.0,9317682.0,1.22,0.0724,0.23,0.292,1.19,1.3
12906,3,19817884,20000000.0,6775960.0,0.0,12789321.0,0.0,,100.0,0.0,100.0,100.0,0,0,2.83,12789321.0,0.0,0.0,0.639,0.254,0.265,0.613,0.436
12970,2,8341666,16000000.0,1049218.0,0.0,60000.0,0.0,,100.0,0.0,75.0,66.7,0,0,7.25,60000.0,0.0,0.0,0.00375,0.17800000000000002,0.0994,0.505,0.265
13019,2,1953733,13000000.0,1108490.0,0.0,419560.0,0.0,,100.0,0.0,100.0,100.0,0,0,11.4,419560.0,0.0,0.0,0.0323,0.0392,0.006540000000000001,0.081,0.0
13159,2,2676980,4000000.0,2235579.0,0.0,643376.0,2398280.0,,118.0,0.0,29.9,44.8,0,0,2.58,643376.0,1199140.0,0.6,0.161,0.193,0.251,0.513,0.42700000000000005
13278,2,10756057,45000000.0,5603000.0,0.0,0.0,6399022.0,,47.2,0.0,75.0,92.3,0,0,8.08,0.0,3199511.0,0.142,0.0,0.392,0.124,0.7040000000000001,0.9470000000000001
13288,2,2856788,10000000.0,1224687.0,0.0,0.0,1139405.0,,100.0,0.0,105.0,63.1,0,0,2.0,0.0,569703.0,0.114,0.0,0.0736,0.0476,0.53,0.787
13526,2,3286393,6000000.0,3172592.0,0.0,0.0,3278943.0,,0.0,0.0,9.55,12.2,0,0,4.67,0.0,1639472.0,0.546,0.0,0.0167,0.0448,0.578,0.65
13546,2,4673951,5000000.0,3076158.0,0.0,1515500.0,4613297.0,,100.0,0.0,100.0,100.0,0,0,2.5,1515500.0,2306649.0,0.9229999999999999,0.303,0.792,0.997,0.887,0.8079999999999999
13566,3,15125768,16000000.0,1899754.0,0.0,6045470.0,6783919.0,,100.0,0.0,100.0,139.0,0,0,9.92,6045470.0,2261306.0,0.424,0.37799999999999995,0.168,0.32299999999999995,0.7190000000000001,0.7490000000000001
13628,2,1334327,3000000.0,1366591.0,0.0,15000.0,0.0,,100.0,0.0,100.0,67.5,0,0,6.0,15000.0,0.0,0.0,0.005,0.0997,0.13,0.22,0.23199999999999998
13733,2,16097036,59000000.0,6190369.0,0.0,3803088.0,0.0,,100.0,0.0,77.5,41.8,0,0,5.25,3803088.0,0.0,0.0,0.0645,0.106,0.00847,0.156,0.000102
13738,2,1916621,5000000.0,1904840.0,0.0,0.0,1943345.0,,0.0,0.0,18.3,10.3,0,0,4.67,0.0,971673.0,0.389,0.0,0.00183,0.0,0.368,0.485
13741,2,63628,19000000.0,75206.0,0.0,0.0,86229.0,,0.0,0.0,27.5,24.2,0,0,5.42,0.0,43115.0,0.00454,0.0,0.00257,0.00228,0.0139,0.0368
13828,2,2172293,20000000.0,2101798.0,0.0,0.0,1808535.0,,100.0,0.0,100.0,0.0,0,0,1.83,0.0,904268.0,0.0904,0.0,0.0636,0.0056,0.0824,0.0103
13911,2,2234024,7000000.0,2159961.0,0.0,0.0,2272896.0,,10.0,0.0,32.6,0.0,0,0,5.58,0.0,1136448.0,0.325,0.0,0.0768,0.0,0.17300000000000001,0.00176
14226,2,79691,45000000.0,91156.0,0.0,0.0,88799.0,,0.0,0.0,75.0,100.0,0,0,5.25,0.0,44400.0,0.00197,0.0,0.009909999999999999,0.0301,0.0339,0.0533
14616,2,48201900,100000000.0,38470769.0,0.0,12600000.0,40446335.0,,0.0,0.0,18.3,18.8,0,0,4.58,12600000.0,20223168.0,0.40399999999999997,0.126,0.12,0.0455,0.258,0.201
14724,3,6648830,25000000.0,1649598.0,0.0,0.0,3427550.0,,100.0,0.0,100.0,100.0,0,0,7.83,0.0,1142517.0,0.13699999999999998,0.0,0.152,0.073,0.318,0.16899999999999998
14812,2,84986691,82000000.0,68369169.0,4350000.0,4868758.0,80831676.0,,17.1,1.37,53.3,100.0,0,0,13.0,9218758.0,40415838.0,0.986,0.11199999999999999,0.263,0.807,0.907,0.767
15077,2,1231919,17000000.0,239139.0,0.0,993058.0,0.0,,100.0,0.0,100.0,100.0,0,0,6.58,993058.0,0.0,0.0,0.0584,0.0295,0.016,0.040999999999999995,0.008879999999999999
15242,3,288927,92000000.0,246511.0,0.0,0.0,0.0,,100.0,0.0,46.3,10.5,0,0,13.1,0.0,0.0,0.0,0.0,0.00646,0.0,0.00921,6.52e-05
15377,3,2447580,3000000.0,2367565.0,0.0,9740.0,2458532.0,,99.8,0.0,100.0,100.0,0,0,6.58,9740.0,819511.0,0.82,0.00325,0.405,0.40399999999999997,0.77,0.745
13625,2,4306728,4000000.0,4316980.0,0.0,161999.0,4290920.0,A,7.98,6.87,4.39,9.96,0,0,6.83,161999.0,2145460.0,1.07,0.0405,0.063,0.11900000000000001,0.9520000000000001,0.833
3563,2,921499,59000000.0,563269.0,0.0,382810.0,893878.0,C,100.0,0.0,78.1,0.0,0,0,9.58,382810.0,446939.0,0.0152,0.006490000000000001,0.00747,0.0214,0.009059999999999999,0.0208
12481,2,2986142,10000000.0,54771.0,0.0,2783345.0,0.0,A,0.0,0.0,38.7,64.9,0,0,5.92,2783345.0,0.0,0.0,0.278,0.0762,0.007370000000000001,0.0781,0.00853
4254,2,6437645,6000000.0,5970411.0,0.0,866750.0,6424640.0,A,34.1,6.79,24.9,41.7,0,0,8.83,866750.0,3212320.0,1.07,0.14400000000000002,0.153,0.39299999999999996,1.13,0.983
12541,3,1370140,7000000.0,278500.0,0.0,390074.0,821072.0,F,105.0,0.0,99.8,99.5,0,0,11.8,390074.0,273691.0,0.11699999999999999,0.0557,0.27699999999999997,0.377,0.271,0.446
1555,2,5659300,5000000.0,4819270.0,0.0,1279600.0,5667704.0,C,37.7,13.4,34.27,39.33,0,0,5.75,1279600.0,2833852.0,1.1335408000000002,0.25592,0.30468875,0.29043653399999997,0.97913275,0.49938019999999994
2500,3,9209434,8000000.0,7758210.0,0.0,466160.0,9252639.0,A,16.1,15.1,19.2,21.9,0,0,4.5,466160.0,3084213.0,1.16,0.0583,0.136,0.28600000000000003,1.04,1.09
4091,2,20767554,56000000.0,25517189.0,0.0,5362423.0,22298267.0,A,0.0,0.0,26.0,0.0,0,0,34.4,5362423.0,11149134.0,0.39799999999999996,0.0958,0.124,0.139,0.353,0.11199999999999999
15409,3,12126776,29000000.0,12100678.0,0.0,0.0,12121569.0,A,19.8,0.0,25.0,76.9,0,0,15.2,0.0,4040523.0,0.418,0.0,0.0922,0.0139,0.24,0.0291
132,2,5507953,5000000.0,4804712.0,500000.0,0.0,5503853.0,A,0.0,9.68,58.75,24.3,0,0,2.333333333,500000.0,2751926.5,1.1007706,0.1,0.3464093,0.02,0.7517659999999999,0.576694334
12953,5,16913016,15000000.0,16541158.0,0.0,1626203.0,17111185.0,A,10.0,13.1,11.8,12.8,0,0,15.7,1626203.0,3422237.0,1.14,0.10800000000000001,0.0924,0.0667,1.02,1.02
5326,3,10214855,10000000.0,6133145.0,0.0,6751072.0,0.0,A,99.9,0.0,100.0,100.0,0,0,4.83,6751072.0,0.0,0.0,0.675,0.536,1.1,0.654,0.56
4109,5,2478500,7000000.0,2583407.0,0.0,0.0,2534318.0,B,10.0,0.0,33.4,18.5,0,1,23.8,0.0,506864.0,0.36200000000000004,0.0,0.0,0.0296,0.34700000000000003,0.614
11234,4,3472886,48000000.0,1815670.0,0.0,2709338.0,0.0,G,100.0,0.0,100.0,100.0,0,0,6.67,2709338.0,0.0,0.0,0.0564,0.0656,0.10099999999999999,0.0542,0.0268
7590,7,7221006,64000000.0,2270834.0,0.0,2874426.0,0.0,A,100.0,0.0,100.0,73.4,0,0,10.4,2874426.0,0.0,0.0,0.0449,0.059000000000000004,0.0841,0.0871,0.0387
2059,4,7716632,26000000.0,2952477.0,0.0,3920925.0,6074072.0,A,100.0,0.0,90.7,100.0,0,0,15.1,3920925.0,1518518.0,0.23399999999999999,0.151,0.11900000000000001,0.0607,0.28,1.0
2824,2,3296644,15000000.0,3249165.0,0.0,1829442.0,0.0,A,0.0,0.0,53.6,36.0,0,0,14.3,1829442.0,0.0,0.0,0.122,0.413,0.32799999999999996,1.23,0.602
157,5,102866548,84000000.0,20503689.0,0.0,11050908.0,103406965.0,I,200.0,16.56,97.93,0.0,0,0,10.66666667,11050908.0,20681393.0,1.231035298,0.131558429,0.092989929,0.110134921,1.071990188,0.9693286390000001
1354,3,1867203,4000000.0,1467448.0,0.0,564855.0,2107620.0,A,0.0,0.0,22.55,30.07,0,0,8.833333332999999,564855.0,702540.0,0.5269050000000001,0.14121375,0.0690995,0.081684918,0.340994,0.271422
8529,2,8164925,8000000.0,6591868.0,0.0,1456815.0,8506548.0,F,24.3,1.92,25.5,10.9,0,0,2.33,1456815.0,4253274.0,1.06,0.182,0.276,0.13699999999999998,0.812,0.762
15456,2,13494428,13000000.0,12854825.0,0.0,0.0,13521623.0,A,0.0,5.68,2.5,20.6,0,1,10.7,0.0,6760812.0,1.04,0.0,0.0538,0.20800000000000002,0.955,0.8740000000000001
11509,3,8623109,8000000.0,8574725.0,700000.0,0.0,8578733.0,A,100.0,8.87,81.9,98.7,0,0,2.33,700000.0,2859578.0,1.07,0.0875,0.491,0.282,0.774,0.133
2115,3,16802108,29000000.0,9090671.0,0.0,0.0,19246083.0,A,0.0,0.0,49.4,90.3,0,1,10.7,0.0,6415361.0,0.664,0.0,0.0,0.0211,0.495,0.87
8215,3,28778954,25000000.0,24343388.0,0.0,3192244.0,25915989.0,A,0.0,23.0,74.9,99.9,0,1,8.67,3192244.0,8638663.0,1.04,0.128,0.745,0.534,0.903,0.48
14199,3,4193659,4000000.0,4196576.0,600000.0,0.0,4199533.0,A,32.2,4.56,16.1,17.4,0,0,6.0,600000.0,1399844.0,1.05,0.15,0.0805,0.0471,1.04,0.977
3479,2,4721563,5000000.0,3894073.0,0.0,3214350.0,0.0,A,99.8,0.0,75.8,17.6,0,0,5.67,3214350.0,0.0,0.0,0.643,0.36200000000000004,0.0,0.55,0.0
1797,2,1872864,3000000.0,297120.0,0.0,281120.0,0.0,B,100.0,0.0,100.79,100.0,0,0,5.583333333,281120.0,0.0,0.0,0.093706667,0.176905833,0.243127443,0.31205008300000003,0.38457089
6857,2,3355934,4000000.0,3254238.0,0.0,12000.0,0.0,F,100.0,0.0,38.2,50.0,0,0,4.67,12000.0,0.0,0.0,0.003,0.22,0.00155,0.43,0.168
7516,3,6594681,8000000.0,6425165.0,0.0,0.0,6575165.0,A,19.5,0.0,7.95,14.3,0,0,8.58,0.0,2191722.0,0.8220000000000001,0.0,0.0,0.034,0.764,0.922
13604,2,1817457,3000000.0,287519.0,0.0,7647.0,0.0,D,98.5,0.0,100.0,100.0,0,0,0.917,7647.0,0.0,0.0,0.00255,0.0327,0.551,0.665,0.9229999999999999
15452,2,3133969,8000000.0,3382234.0,0.0,0.0,3158508.0,A,10.5,0.0,11.2,8.22,0,0,0.75,0.0,1579254.0,0.395,0.0,0.0016699999999999998,0.0306,0.377,0.461
4641,2,259181,47000000.0,253750.0,0.0,0.0,0.0,A,91.1,0.0,24.6,0.0,0,0,13.3,0.0,0.0,0.0,0.0,0.00134,0.0,0.007809999999999999,0.0
